,Constellation,Distance,Mass,Radius
0,Pegasu,46,4,0.9
1,Tucan,19,1,1.6
2,Phoeni,,,
3,Pisce,37,7,1
4,Cassiopei,14,,
5,Pisce,23,3,1.4
6,Andromed,46,,
7,Cetu,87,5,0.9
8,Cetu,13,2,1.4
9,Pisce,3,4,0.9
10,Pisce,28,4,0.9
11,Pisce,5,2,1.6
12,Cassiopei,4,1,1
13,Sculpto,3,4,0.9
14,Sculpto,,,
15,Cetu,9,2,1.4
16,Cetu,3,2,
17,Pisce,7,5,0.9
18,Cetu,5,5,0.9
19,Sculpto,16,2,1.6
20,Phoeni,13,2,1.6
21,,7,4,0.9
22,Cetu,6,,
23,Cetu,6,,
24,Cetu,6,,
25,Cetu,11,4,0.9
26,,10,1,1.5
27,,15,2,1.6
28,Cetu,15,2,1.4
29,Forna,3,3,0.9
30,,5,7,1
31,,,,
32,Arie,12.57,8,1.2
33,,18,6,1
34,Cetu,2,6,1
35,Eridanu,16,8,0.9
36,Forna,4,4,0.9
37,,4,8,1.1
38,,19,2,1.6
39,,5,4,0.9
40,Eridanu,8,1,1
41,Tauru,9,5,0.9
42,,27,7,1
43,Forna,20,7,1.4
44,,8,7,1
45,Tauru,38,5,3.7
46,,4,10,1.2
47,Tauru,29,2,1.3
48,Horologiu,13,,
49,Eridanu,18,3,0.9
50,Eridanu,5,,
51,Eridanu,8,8,1
52,,3,10,1.2
53,,14,3,1.9
54,Eridanu,29,4,0.9
55,,47,1,
56,,8,2,1.7
57,Caelu,4,6,1
58,Caelu,6,1,7
59,Orio,4,6,1
60,Orio,6,2,1.3
61,Orio,7,4,0.9
62,Lepu,4,6,1
63,Camelopardali,8,8,
64,,41.6,6,1
65,Lepu,3,,
66,Aurig,34,2,1.4
67,,10,3,1.5
68,,6,6,
69,,6,5,
70,Puppi,3,5,0.9
71,Puppi,6,6,1
72,Canis Majo,5,7,1
73,Gemin,4,,
74,,6,7,1
75,Monocero,13,2,0.9
76,Gemin,29,4,0.9
77,Puppi,25,3,0.9
78,Gemin,4,4,0.9
79,Gemin,49,,
80,Puppi,5,7,1
81,,6,2,6
82,Carin,16,4,0.9
83,Vel,6,4,
84,Vel,6,2,
85,Cance,3,5,0.9
86,Lyn,4,4,0.9
87,,5,8,1.1
88,Hydr,7,4,0.9
89,Hydr,23.5,6,1
90,Hydr,4,6,1
91,,27,7,1
92,Pyxi,5,5,0.9
93,Lyn,9,,
94,Le,20,4,0.9
95,Antli,17,3,0.9
96,Hydr,5,4,0.9
97,,4,4,0.9
98,Sextan,5,5,0.9
99,Le,10,,
100,,9,,
101,Ursa Majo,6,2,1.4
102,Antli,5,4,0.9
103,Le,34,4,0.9
104,Antli,13.1,7,1
105,Vel,6.51,4,1
106,Vel,6.51,4,1
107,Crate,4,6,1
108,,18,3,2.3
109,Chamaeleo,16,,1
110,Chamaeleo,55,1,
111,,6,,1.2
112,Hydr,18,3,0.9
113,,13,3,2.2
114,,8,,
115,Hydr,12,3,1.5
116,Centauru,3,6,1
117,,,,
118,,,,
119,,21,1,1.7
120,Virg,3,4,0.9
121,,4,,
122,Corvu,6,,
123,Drac,45,4,0.9
124,Ursa Majo,11,,
125,,26,2,2
126,Virg,3,4,0.9
127,Hydr,6,6,0.9
128,Hydr,6,5,0.9
129,,10,6,1
130,Virg,6,5,0.9
131,Virg,4,4,0.9
132,,5,6,1
133,,29,3,0.9
134,Boöte,14,5,0.9
135,Centauru,3,2,1.3
136,Boöte,38,7,1
137,,4,7,1
138,,7,9,1.1
139,Boöte,4,5,0.9
140,Boöte,10,11,1
141,Boöte,10,,1
142,Boöte,35,7,1
143,Boöte,20,4,0.9
144,,7,4,0.9
145,Boöte,4,6,1
146,Libr,23,6,0.9
147,,5,7,1
148,Serpen,8,,
149,Boöte,3,5,0.9
150,Serpen,6,5,0.9
151,Libr,5,6,1
152,Lupu,3,4,0.9
153,Corona Boreali,6,3,1.4
154,Libr,4,7,1
155,Hercule,4,4,0.9
156,Serpen,3,4,0.9
157,Hercule,11,7,1
158,Hercule,5,4,0.9
159,,2,4,0.9
160,Drac,6,7,1
161,,11,2,1.4
162,,7,,
163,,9,4,0.9
164,,3,4,0.9
165,Lyr,18,7,1
166,,13,6,1
167,,4,9,1.2
168,,10,2,1.8
169,,6,4,0.9
170,,4,7,1
171,,10,,
172,,6,6,1
173,Capricornu,8,6,1.5
174,,11,9,1.2
175,Aquariu,32,4,0.9
176,,26,5,0.9
177,,,,
178,,9,2,1.3
179,,15,2,1.4
180,,3,6,0.9
181,Gru,3,4,0.9
182,,6,7,1
183,,5,1,1.2
184,,5,2,1.3
185,,14,1,1.5
186,,6,8,1.1
187,,7,8,1
188,Andromed,23,,
189,Cetu,87,,
190,Phoeni,48,,
191,Sculpto,71,,
192,Phoeni,62,,
193,Andromed,36,,
194,Cepheu,101,,
195,Pisce,47,,
196,Pisce,62,,
197,Andromed,24,,
198,Pisce,142,,
199,Andromed,67,,
200,Pisce,77,,
201,Cetu,57,,
202,Andromed,20,,
203,Hydru,3,,
204,Andromed,61,,
205,Arie,58,,
206,Andromed,73,,
207,Forna,4,,
208,Cetu,9,,
209,Forna,53,,
210,Forna,56,,
211,Perseu,57,,
212,Perseu,7,,
213,Arie,82,,
214,Cepheu,2,,
215,Perseu,106,,
216,Hydru,84,,
217,Reticulu,45,,
218,Forna,51,,
219,Tauru,36,,
220,Reticulu,54,,
221,Perseu,45,,
222,Eridanu,55,,
223,Reticulu,17,,
224,Reticulu,19,,
225,Tauru,2,,1.1
226,Tauru,85,,
227,Horologiu,66,,
228,Eridanu,69,,
229,Camelopardali,35,1,4
230,Camelopardali,35,1,3
231,Eridanu,4,,
232,Orio,44,,
233,Camelopardali,98,,
234,Columb,57,,
235,Mens,4,,
236,Orio,84,,
237,Lepu,50,,
238,Gemin,25,,
239,Monocero,57,,
240,Puppi,95,,
241,Canis Majo,64,,
242,Aurig,50,,
243,Orio,51,,
244,Monocero,37,,
245,Lyn,67,,
246,Canis Majo,37,,
247,Picto,2,,
248,Aurig,54,,
249,Canis Majo,23,,
250,Gemin,45,,
251,Camelopardali,78,,
252,Volan,34,,
253,Lyn,47,,
254,Gemin,51,,
255,Chamaeleo,39,,
256,Puppi,38,,
257,Chamaeleo,3,,
258,Lyn,63,,
259,Hydr,4,,
260,Ursa Majo,68,,
261,Pyxi,72,,
262,Ursa Majo,42,,
263,Ursa Majo,51,,
264,Hydr,64,,
265,Le,72,,
266,Hydr,47,,
267,Ursa Majo,56,,
268,Hydr,47,,
269,Antli,53,,
270,Hydr,40,,
271,Le,57,,
272,Le,50,,
273,Hydr,10,,
274,Ursa Majo,32,,
275,Coma Berenice,34,1,
276,Coma Berenice,34,,
277,Virg,55,,
278,Virg,44,,
279,Canes Venatic,86,,
280,Virg,32,,
281,Ursa Majo,56,,
282,Hydr,33,,
283,Drac,9,,
284,Ursa Majo,25,3,0.8
285,Libr,84,,
286,Libr,6,,
287,Drac,52,,
288,Ursa Mino,11,,
289,Serpen,72,,
290,Ursa Mino,50,,
291,Corona Boreali,84,,
292,Libr,2,,
293,Serpen,41,,
294,Scorpiu,55,,
295,Hercule,32,,
296,Hercule,50,,
297,Scorpiu,52,,
298,Hercule,50,,
299,Triangulum Austral,16,,
300,Drac,2,,
301,Hercule,39,,
302,Hercule,60,,
303,Drac,72,,
304,Ophiuchu,62,,
305,Drac,97,,
306,Hercule,2,,
307,Hercule,18,,
308,Ophiuchu,83,,
309,Ophiuchu,28,5,
310,Hercule,3,,
311,Hercule,74,,
312,Hercule,4,,
313,Lyr,3,,
314,Lyr,10,,
315,Drac,131,,
316,Lyr,55,,
317,Lyr,51,,
318,Vulpecul,22,,
319,Drac,44,,
320,Sagittariu,37,,
321,Delphinu,34,,
322,Aquil,96,,
323,Drac,50,,
324,Pav,47,,
325,Capricornu,42,,
326,Delphinu,24,,
327,Indu,42,,
328,Pegasu,61,,
329,Piscis Austrinu,4,,
330,Pegasu,58,,
331,Gru,26,,
332,Pegasu,4,,
333,Aquariu,53,,
334,Cepheu,4,,
335,Pegasu,59,,
336,Piscis Austrinu,44,,
337,Pisce,60,,
338,Octan,35,,
339,Aquariu,52,,
340,Gru,37,,
341,Sculpto,70,,
342,Andromed,90,,
343,Aquariu,37,,
344,Pegasu,51,,
345,Octan,48,,
346,Pegasu,4,,
347,Aquariu,54,,
348,Pegasu,54,,
349,Tucan,42,,
350,Ursa Major,111,,
351,Libra,120,40 + 39 + ?,
